mae,rmse,r2,model,horizon,fold,train_size,val_size
51.440037642986866,98.51614343164795,0.8653042601466956,XGBoost,6h,1,12416,12414
41.15818389166889,86.00206616625374,0.8662281658732659,XGBoost,6h,2,24830,12414
54.52784174761734,104.70286119679312,0.8490157921511197,XGBoost,6h,3,37244,12414
42.47249039173827,84.72244071559251,0.8675143478494726,XGBoost,6h,4,49658,12414
48.25555133951859,96.50835165772061,0.8623425042478765,XGBoost,6h,5,62072,12414
56.075478372486515,101.9006766178774,0.8558311788541716,XGBoost,12h,1,12416,12414
47.02343079879873,93.62522020718082,0.8414562826463134,XGBoost,12h,2,24830,12414
59.87217092903192,112.23596161039998,0.826766839670032,XGBoost,12h,3,37244,12414
46.405780041903924,89.64549293589764,0.8513015035969704,XGBoost,12h,4,49658,12414
53.62088249406512,104.64306456987339,0.8381717504650605,XGBoost,12h,5,62072,12414
1056.2865674011848,1388.2350432987703,0.6808576811528382,XGBoost_daily,7d,1,512,510
992.7334149459414,1338.498916506257,0.6761011627063764,XGBoost_daily,7d,2,1022,510
1208.251348249731,1583.4825639808864,0.6111033155563226,XGBoost_daily,7d,3,1532,510
960.5157315849966,1277.6379382576224,0.6953764498769075,XGBoost_daily,7d,4,2042,510
1220.8014810552784,1558.1017382125922,0.5821020561996981,XGBoost_daily,7d,5,2552,510
1037.010808574306,1332.7194230387336,0.7029825200645359,XGBoost_daily,14d,1,512,510
1033.138220837946,1340.300830000824,0.6764189477521344,XGBoost_daily,14d,2,1022,510
1227.8028877182626,1609.0660068392856,0.5972688121229643,XGBoost_daily,14d,3,1532,510
940.8453448330947,1268.1857875220103,0.6981105376935768,XGBoost_daily,14d,4,2042,510
1223.0898339968685,1555.5272571556793,0.5908452406271939,XGBoost_daily,14d,5,2552,510
56.56856028549928,100.45066374675804,0.8599623942522512,LSTM,6h,1,12416,12414
52.29695247776794,98.95725299227946,0.8640395874234023,LSTM,12h,1,12416,12414
45.07263783435199,88.91437735105904,0.8570148634271642,LSTM,6h,2,24830,12414
46.21923066232133,91.79207148456437,0.8476039628274055,LSTM,12h,2,24830,12414
55.81280026091309,105.08014398799718,0.847925728835995,LSTM,6h,3,37244,12414
63.386904660808,114.23976921538363,0.8205259765838714,LSTM,12h,3,37244,12414
41.81150615374123,85.5146900261779,0.865024985644831,LSTM,6h,4,49658,12414
42.67323438306772,91.68380897450763,0.844462557682051,LSTM,12h,4,49658,12414
52.86546344969728,99.37875998240976,0.8540321485624089,LSTM,6h,5,62072,12414
57.48115136832106,105.57775461683966,0.8352678830800304,LSTM,12h,5,62072,12414
76.33051235136638,99.48185577292705,0.4399303601946841,Prophet,6h,aggregate,varying,varying
91.61121274258484,121.98980293549751,0.7202289390535515,Prophet,12h,aggregate,varying,varying
1083.6706911682813,1399.0751523955284,0.6756121753792346,Prophet_long,28d,aggregate,varying,varying
1110.571540691217,1453.3557778311142,0.6436946238617121,Prophet_long,56d,aggregate,varying,varying
1106.3633484367188,1452.3589015336172,0.651121437057661,Prophet_long,84d,aggregate,varying,varying
1050.439665914985,1388.3394923372523,0.6683004383312383,Prophet_long,168d,aggregate,varying,varying
1072.8584842093508,1435.3860091704805,0.6475829497826762,Prophet_long,336d,aggregate,varying,varying
