Horizon,Model,MAE (Wh/m^2/day),MSE,RMSE (Wh/m^2/day),R^2,"MAPE (%, GHI>50 Wh/m^2/day)",Bias (Wh/m^2/day)
7d,XGBoost daily,1020.8602,1897046.375,1377.3331,0.6638,52.628,-8.4777
7d,Climatology,988.5496,1842475.8348,1357.3783,0.6735,50.5914,20.0534
14d,XGBoost daily,997.0461,1826122.125,1351.3409,0.6722,52.7409,17.8488
14d,Climatology,988.8416,1837057.3517,1355.3809,0.6703,50.9693,17.6693
28d,Prophet long,986.8275,1848483.4858,1359.5895,0.6612,52.9786,68.4321
28d,Climatology,996.948,1856911.2742,1362.6853,0.6596,51.9895,14.352
56d,Prophet long,1049.6066,1780354.1036,1334.2991,0.6688,48.9766,-292.6451
56d,Climatology,976.0576,1733066.94,1316.46,0.6776,51.3041,-14.5756
84d,Prophet long,937.2986,1747661.0057,1321.9913,0.6818,54.7781,184.0178
84d,Climatology,971.1825,1742800.9631,1320.1519,0.6826,52.0836,0.2374
168d,Prophet long,1084.9136,1983847.6247,1408.4913,0.6614,48.1036,-208.9936
168d,Climatology,1021.5615,1944234.2553,1394.358,0.6681,50.0356,10.9825
336d,Prophet long,913.9976,1748070.8903,1322.1463,0.7187,44.0327,154.9746
336d,Climatology,961.5156,1747065.841,1321.7662,0.7189,40.8277,-67.7201
