Horizon,Forecast inputs,Test period,Test hours,Model,MAE (W/m^2),MSE,RMSE (W/m^2),R^2,"MAPE (%, GHI>50)",Bias (W/m^2),Daytime RMSE (W/m^2),Skill vs forecast
6h,archive,2023-12-14 > 2024-12-29,9158,XGBoost,27.8535,3505.548,59.2077,0.9419,25.0873,-4.566,83.3231,0.2395
6h,archive,2023-12-14 > 2024-12-29,9158,LSTM,28.3616,3756.5862,61.291,0.9378,26.843,-0.6197,86.255,0.2128
6h,archive,2023-12-14 > 2024-12-29,9158,Ensemble,27.6371,3495.1957,59.1202,0.9421,25.6281,-2.5213,83.1999,0.2407
6h,archive,2023-12-14 > 2024-12-29,9158,Open-Meteo forecast,32.8899,6061.6491,77.8566,0.8996,35.1282,12.6534,109.5673,0.0
6h,archive,2023-12-14 > 2024-12-29,9158,Old recipe (NSRDB inputs),44.7531,8168.2165,90.3782,0.8647,43.5012,0.8785,127.1864,-0.1608
6h,archive,2023-12-14 > 2024-12-29,9158,Old recipe (Open-Meteo inputs),51.8464,9610.0497,98.0309,0.8409,49.3813,-4.96,137.9351,-0.2591
12h,archive,2023-12-14 > 2024-12-29,9158,XGBoost,28.098,3559.8101,59.6641,0.9411,25.1988,-4.9014,84.02,0.2336
12h,archive,2023-12-14 > 2024-12-29,9158,LSTM,28.4396,3753.7998,61.2683,0.9378,26.2955,-2.1611,86.279,0.213
12h,archive,2023-12-14 > 2024-12-29,9158,Ensemble,27.7889,3527.4291,59.3922,0.9416,25.4105,-3.4824,83.637,0.2371
12h,archive,2023-12-14 > 2024-12-29,9158,Open-Meteo forecast,32.8752,6060.8608,77.8515,0.8996,35.1659,12.642,109.6314,0.0
12h,archive,2023-12-14 > 2024-12-29,9158,Old recipe (NSRDB inputs),48.5442,9180.8334,95.8167,0.848,46.6393,-1.0663,134.922,-0.2308
12h,archive,2023-12-14 > 2024-12-29,9158,Old recipe (Open-Meteo inputs),54.7436,10530.7928,102.6197,0.8256,51.8304,-4.7074,144.4764,-0.3181
24h,lead,2024-08-14 > 2024-12-30,3336,XGBoost,25.5458,3346.9797,57.8531,0.9216,27.8572,-5.0279,86.2472,0.0433
24h,lead,2024-08-14 > 2024-12-30,3336,LSTM,26.9431,3706.3285,60.8796,0.9132,27.4365,-9.4477,90.7592,-0.0067
24h,lead,2024-08-14 > 2024-12-30,3336,Ensemble,25.7664,3363.0552,57.9919,0.9212,27.2185,-7.1183,86.4541,0.041
24h,lead,2024-08-14 > 2024-12-30,3336,Open-Meteo forecast,24.1046,3657.0261,60.4734,0.9143,30.1577,1.3888,90.1531,0.0
24h,lead,2024-08-14 > 2024-12-30,3336,Old recipe (NSRDB inputs),36.9812,5638.8552,75.0923,0.8679,37.6637,-7.2064,111.9347,-0.2417
24h,lead,2024-08-14 > 2024-12-30,3336,Old recipe (Open-Meteo inputs),43.4389,6801.423,82.4707,0.8407,42.6757,-12.2471,122.89,-0.3638
48h,lead,2024-08-13 > 2024-12-29,3327,XGBoost,24.2435,3542.9058,59.5223,0.9172,28.5282,1.5779,88.7046,0.1336
48h,lead,2024-08-13 > 2024-12-29,3327,LSTM,24.4844,3695.0507,60.7869,0.9136,27.2971,0.0389,90.5893,0.1152
48h,lead,2024-08-13 > 2024-12-29,3327,Ensemble,23.9157,3498.6856,59.1497,0.9182,27.5266,0.85,88.1493,0.139
48h,lead,2024-08-13 > 2024-12-29,3327,Open-Meteo forecast,23.8371,4719.8028,68.7008,0.8897,31.3812,10.2429,102.383,0.0
48h,lead,2024-08-13 > 2024-12-29,3327,Old recipe (NSRDB inputs),39.5509,5658.9978,75.2263,0.8677,37.989,-7.9623,112.0341,-0.095
48h,lead,2024-08-13 > 2024-12-29,3327,Old recipe (Open-Meteo inputs),44.701,6472.0413,80.449,0.8487,42.9961,-10.5517,119.7713,-0.171
