number,value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0,1451.811156414865,0.5780093202212182,0.2904180608409973,0.22648248189516848,8,4,250,0.08499808989182997,0.0006440507553993703,0.7993292420985183
1,1906.8794438748807,0.6061695553391381,0.9170225492671691,0.001124579825911934,10,4,400,2.716051144654844e-06,0.00015777981883364995,0.9162213204002109
2,1575.7673143821023,0.6460723242676091,2.28034992108518,0.005265139631677754,7,8,250,0.019116469627784252,3.9572205641009174e-07,0.569746930326021
3,1557.516230002065,0.5852620618436457,4.7444276862666666,0.029341527565000736,3,2,300,0.530953226900921,0.02932100047183291,0.8037724259507192
4,1992.1765218268454,0.5610191174223894,0.17194260557609198,0.0017456037635797405,8,10,200,0.1881755597772026,1.1755466083160747e-06,0.7200762468698007
5,1541.6252611170064,0.5924272277627636,3.8756641168055728,0.005917607170144194,7,20,350,0.32808889626606236,0.14408501080722544,0.7733551396716398
6,1473.5767810698933,0.522613644455269,1.9433864484474102,0.19212959255386391,3,7,350,1.481809088646707e-06,0.04264813784432918,0.5979914312095727
7,1661.1032753828047,0.9010984903770198,4.9344346830025865,0.0049648810171066555,7,2,250,0.015064619068942013,3.8879928024075543e-07,0.5704621124873813
8,1456.8447151897626,0.8856351733429728,1.7923286427213632,0.10471209213501693,8,2,100,8.451863533931625e-08,0.08032068562667222,0.8645035840204937
9,1527.9352438209087,0.6625916610133735,3.1877873567760657,0.006601984958164864,3,15,350,0.12522814303053625,5.994036749692399e-05,0.6554911608578311
10,1445.0778534738101,0.7606700059313507,0.0757211855137844,0.04955746764992294,5,14,500,0.0009705371168540475,0.0003667608064912241,0.9661451709558935
11,1444.137313746143,0.7804533509078435,0.055111967492394796,0.05473913092300318,5,14,500,0.0003857694405425064,0.0005413387146719052,0.9806693857217327
12,1443.0490368257122,0.7630125055985993,1.0590534501244653,0.03979831790194301,5,15,500,0.00022421038024331638,0.0011219586787933656,0.9993806536575129
13,1447.6768706991254,0.794529966260747,1.2077746649016983,0.01878419260491097,5,15,500,0.00017859484883452856,0.003517360581285064,0.9996812193207756
14,1436.5499262217293,0.9970871776969605,0.9112312667552838,0.06416792201306505,5,19,450,1.584329814761516e-05,7.2782320496247865e-06,0.8926324340837093
15,1440.8870032180193,0.9760965827814272,1.1261493717531115,0.08883265057539676,4,20,450,4.4260586760818415e-06,6.412072299294858e-06,0.8857655808179502
16,1486.0564986086447,0.9882153853366654,2.7243075189409414,0.1053093718323849,4,20,400,5.400087034202407e-06,1.2747755202583602e-08,0.8695261027925065
17,1448.2765274233627,0.9833252396846313,1.4841250336387173,0.10026401511277148,4,18,450,1.9518143463535143e-08,1.3323235570478363e-05,0.8821155401091643
18,1429.7851181120284,0.9095336881172504,0.692384119899178,0.012693119840627941,6,18,450,6.81153025604397e-07,4.653325192018721e-06,0.7163728055902456
19,1433.4021076832107,0.9035465974365774,0.7626313928114906,0.011554579187650649,6,17,400,2.2732763569066707e-07,2.2225767522138785e-08,0.6943803152927849
20,1432.8119260954165,0.8534163297455488,0.6938496971529928,0.011811262704125441,6,17,400,1.8872788586057195e-07,1.308077668772914e-08,0.5060955054896342
21,1432.0671560800781,0.8554257879235289,0.6892964352280118,0.012145275727768022,6,17,400,2.70740646411698e-07,1.1082987151457855e-08,0.6927310968166698
22,1428.1205007689066,0.844051168987125,0.5440155052066763,0.012465951617769436,6,12,400,2.442571154687039e-07,1.1411591510623006e-07,0.636965442018266
23,1428.2819799961126,0.8301293921219437,0.44982612691998725,0.02026808009706868,6,12,450,1.2049111259024879e-08,7.886792274246221e-08,0.6483342556912381
24,1461.2913081311754,0.7173977827786409,1.6444303013994575,0.01879829064648851,9,12,450,1.2581066961989911e-08,1.0897884008869241e-07,0.6330251468832903
25,1531.2813552264615,0.8147989849897979,0.578505174309752,0.0027544086968574696,6,11,450,4.603045811358678e-08,1.4463574406137495e-06,0.6433853117680369
26,1449.4357536737846,0.9338363138014336,1.409014538779057,0.029228034935034678,7,9,350,2.998799900100207e-05,7.543954073410236e-08,0.7424094503442709
27,1433.3752217313533,0.7197353151639445,0.3926612839322319,0.008133990304053838,6,12,300,9.153923379490789e-07,9.373427742649866e-08,0.5142577159707155
28,2030.4170231909,0.8290056874896142,2.2155146140759996,0.0033993040893350182,8,6,100,8.125530033374904e-07,1.5626555400628288e-06,0.6708202820735031
29,1498.6159389434367,0.9322877962108089,2.9124934165505914,0.023493266931843712,9,13,450,4.946988507725034e-08,2.0056803456439064e-05,0.8124841893119348
30,1423.3349240400782,0.8687214883097844,0.35687225747397067,0.009260348322641141,7,10,500,1.2855710285338536e-08,2.95679788526968e-07,0.6084289883407505
31,1425.2105573645597,0.8540524656523163,0.36298104794171604,0.00930285498899273,7,10,500,1.003667556399543e-08,3.775516928636745e-07,0.6036626740866803
32,1425.431112063476,0.8642169635218125,0.3552172621684479,0.00854504708504681,7,10,500,1.105779674942074e-08,3.213563827980491e-07,0.6055915582544327
33,1456.1149605202656,0.8625688016122837,0.3618090788902015,0.003601862622777421,7,10,500,2.7562426335170414e-08,3.4289815854341163e-07,0.6072040981391464
34,1426.0404190550323,0.9390340118071532,0.3565230350566463,0.008190707546698487,7,8,500,9.990086062565977e-08,2.8463097635525226e-07,0.5482000914939538
35,1434.205359062521,0.9550034576963717,0.045727682634239375,0.009227091925016537,8,6,500,8.141222715160703e-08,8.053825840725462e-07,0.5316593429030976
36,1714.5814678034212,0.8849743405697542,4.268381767504691,0.0019220869972617737,9,8,500,1.1037825295265645e-08,0.9752758280442607,0.5589756540913217
37,1434.5536983040965,0.9438406855283051,0.25403607044177373,0.004542454018886948,7,9,500,9.632099446917194e-08,7.269010324244893e-05,0.5513380013591754
38,1515.5200763247874,0.7953897785034572,1.3703717980515537,0.0076246200394145675,8,5,200,2.9122339306282657e-08,3.0231709334481034e-07,0.5955010590959019
39,1667.752221066384,0.881492764220265,0.9180503016875539,0.0016828122430491718,7,8,500,0.0016124185589818196,2.481015579906632e-06,0.6082389922029509
40,1491.5183634032685,0.7259110404203546,2.2727387322751524,0.00908778065885588,10,4,500,0.029668387179220667,2.2225856790135817e-07,0.5818816251195408
41,1427.630533506275,0.8461372678189626,0.4027452287902563,0.013772274298675325,7,10,400,3.4316950040651515e-07,3.5447975998351416e-08,0.6237188199021059
42,1437.9749940190047,0.9156257354424502,0.22492324954847734,0.004831429877287862,8,10,450,1.0927235711786224e-07,2.79662373011401e-08,0.531525389863097
43,1553.2087975090326,0.8725423359019526,3.631968007084434,0.006193792411449841,7,9,300,3.502963457028573e-08,3.8911844175631025e-08,0.6136428934682941
44,1439.5230393574275,0.814426114978862,0.9193352128874704,0.015688603185304503,7,7,500,3.7030190858476414e-07,6.330814567861182e-07,0.5750352749262655
45,1426.9259806633083,0.9573240321082732,0.3087710033240487,0.028181400245906492,8,11,450,1.0987504505898381e-08,1.930613603063048e-07,0.540590289829942
46,1438.9813267837196,0.9588938449346213,0.04542351578986492,0.026174178600016793,8,11,500,1.0494880746945516e-08,6.523386681711317e-07,0.55394683658759
47,1475.312861807766,0.9658475364473486,1.8791098443033762,0.03579697571115368,9,9,450,6.296676646281946e-08,2.723427287026803e-06,0.5413074488451595
48,1448.5105366129549,0.9234283600794554,1.1525416239904607,0.006649877895436087,8,7,500,2.2734403785737097e-08,4.25387972067188e-07,0.5850648704385036
49,1455.956163971743,0.8932453914900428,0.24663604608061038,0.003933349365838895,8,13,450,1.1412385910519503e-07,3.12562471441807e-05,0.6699956145931759
