number,value,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
0,99.6117378622355,0.5780093202212182,0.2904180608409973,0.22648248189516848,8,4,250,0.08499808989182997,0.0006440507553993703,0.7993292420985183
1,179.80706786140217,0.6061695553391381,0.9170225492671691,0.001124579825911934,10,4,400,2.716051144654844e-06,0.00015777981883364995,0.9162213204002109
2,120.19023661950969,0.6460723242676091,2.28034992108518,0.005265139631677754,7,8,250,0.019116469627784252,3.9572205641009174e-07,0.569746930326021
3,103.50446656802848,0.5852620618436457,4.7444276862666666,0.029341527565000736,3,2,300,0.530953226900921,0.02932100047183291,0.8037724259507192
4,192.95485194634225,0.5610191174223894,0.17194260557609198,0.0017456037635797405,8,10,200,0.1881755597772026,1.1755466083160747e-06,0.7200762468698007
5,107.10358588519843,0.5924272277627636,3.8756641168055728,0.005917607170144194,7,20,350,0.32808889626606236,0.14408501080722544,0.7733551396716398
6,101.8052624974033,0.522613644455269,1.9433864484474102,0.19212959255386391,3,7,350,1.481809088646707e-06,0.04264813784432918,0.5979914312095727
7,124.95535488591422,0.9010984903770198,4.9344346830025865,0.0049648810171066555,7,2,250,0.015064619068942013,3.8879928024075543e-07,0.5704621124873813
8,99.94722620967173,0.8856351733429728,1.7923286427213632,0.10471209213501693,8,2,100,8.451863533931625e-08,0.08032068562667222,0.8645035840204937
9,105.54010298593317,0.6625916610133735,3.1877873567760657,0.006601984958164864,3,15,350,0.12522814303053625,5.994036749692399e-05,0.6554911608578311
10,97.6216121906072,0.7606700059313507,0.0757211855137844,0.04955746764992294,5,14,500,0.0009705371168540475,0.0003667608064912241,0.9661451709558935
11,97.50999984305604,0.7804533509078435,0.055111967492394796,0.05473913092300318,5,14,500,0.0003857694405425064,0.0005413387146719052,0.9806693857217327
12,98.66135246954376,0.7630125055985993,1.0590534501244653,0.03979831790194301,5,15,500,0.00022421038024331638,0.0011219586787933656,0.9993806536575129
13,98.4220328208038,0.7878475603784052,0.9369114519510556,0.04098690104107069,5,14,500,0.000573767767665648,1.3659363488645918e-05,0.9996812193207756
14,97.72787073101415,0.9977408115016615,0.18598393457143658,0.07931381969761957,5,19,450,0.0015804125582959204,0.0032862235703113537,0.9191118368277078
15,99.44168945474492,0.7031238405617571,1.3841341643379923,0.016249916318348597,4,12,450,9.417970239925065e-06,1.579498322059057e-05,0.9259282947472355
16,101.36410161752963,0.8275177624440883,2.9720903660630578,0.014680789487279295,6,17,450,5.581553914171791e-05,1.2747755202583602e-08,0.8559507412989229
17,98.5503515974084,0.7261950423006598,0.7188817401358486,0.08569856878345886,4,12,500,0.005502436311755557,0.8179631349411213,0.9580250876240307
18,97.34975860369313,0.8301871575155828,0.0175436357406792,0.024364890486664268,6,17,400,4.540204658359108e-05,0.005778827393763795,0.5019610230608531
19,100.55372210587775,0.8368317996287681,1.6474524595027618,0.011554579187650649,6,17,400,4.2587709795538376e-05,0.006506363395578708,0.5216004247704905
20,97.77801631925014,0.960181197297013,0.5353148091733175,0.02243217196959104,10,18,400,1.2387044364130546e-08,0.005416922363222514,0.6977159632774956
