changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mean_mae
0.1,10.0,additive,1122.7782654773648
0.1,1.0,additive,1124.2226826168892
0.1,0.1,additive,1125.2311977017118
0.1,0.01,additive,1149.1619277146701
0.1,10.0,multiplicative,1150.1363493839783
0.1,0.1,multiplicative,1150.2288930094496
0.1,1.0,multiplicative,1150.5137086072398
0.001,0.1,additive,1156.8892414064005
0.01,0.01,additive,1156.9227568323683
0.001,1.0,additive,1160.7291422769092
0.01,0.1,additive,1160.7348090344465
0.01,10.0,additive,1160.7382477477993
0.01,1.0,additive,1161.495170246538
0.001,10.0,additive,1163.718748306973
0.001,1.0,multiplicative,1167.2602184303175
0.001,0.01,additive,1175.575544730679
0.01,0.1,multiplicative,1177.2587760616861
0.001,10.0,multiplicative,1178.1273821951888
0.01,1.0,multiplicative,1180.6291601917953
0.01,10.0,multiplicative,1182.7729520873563
0.001,0.1,multiplicative,1183.7990537796607
0.5,1.0,additive,1204.2004146536244
0.5,0.1,additive,1204.3000929672392
0.5,10.0,additive,1206.2072073346576
0.5,0.01,additive,1233.5490440158162
0.01,0.01,multiplicative,1246.4236261056878
0.5,1.0,multiplicative,1253.9356251950846
0.5,0.1,multiplicative,1255.5776001677314
0.5,10.0,multiplicative,1260.4520139537601
0.001,0.01,multiplicative,1303.9852515303448
0.1,0.01,multiplicative,1344.0378077983926
0.5,0.01,multiplicative,1347.2744880849398
