changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mean_mae
0.5,0.01,additive,86.73310751606944
0.001,10.0,multiplicative,86.815517695555
0.001,1.0,multiplicative,86.91706663746015
0.001,0.1,multiplicative,87.04459460986834
0.5,1.0,additive,87.31611289610512
0.1,0.01,additive,87.42335377669473
0.5,10.0,additive,87.48409215096464
0.5,0.1,additive,87.55686990131974
0.1,10.0,multiplicative,87.61548019134085
0.1,1.0,multiplicative,87.62611469173478
0.5,10.0,multiplicative,87.68876190133382
0.5,1.0,multiplicative,87.73317774333148
0.5,0.1,multiplicative,87.78695714109837
0.001,10.0,additive,87.89973355066508
0.001,0.1,additive,87.90491467731027
0.1,0.1,multiplicative,87.92359606226077
0.001,0.01,additive,87.9648832632588
0.001,1.0,additive,87.96898022617508
0.1,10.0,additive,88.05211391042324
0.1,0.1,additive,88.12146000088293
0.1,1.0,additive,88.18608681856773
0.01,10.0,multiplicative,89.95488761816131
0.01,1.0,multiplicative,90.25543688738819
0.01,0.1,multiplicative,90.28310795372995
0.01,0.01,additive,91.31819360134507
0.01,1.0,additive,91.83442984394252
0.01,0.1,additive,91.8977721528431
0.01,10.0,additive,91.89888563066917
0.001,0.01,multiplicative,99.11061537816002
0.01,0.01,multiplicative,100.37097913105686
0.1,0.01,multiplicative,101.90242031525827
0.5,0.01,multiplicative,103.05281136550946
