units_1,units_2,dropout,dense_units,learning_rate,batch_size,val_loss
128,32,0.2,112,0.000797425773423712,128,0.045217350125312805
64,64,0.30000000000000004,128,0.0007767449713530701,128,0.04533543810248375
256,64,0.1,48,0.0006426228293037218,64,0.04548446834087372
64,32,0.1,64,0.006678619769811224,256,0.04582444950938225
256,128,0.1,48,0.0010277342442932575,64,0.04623464494943619
192,128,0.1,128,0.00012165541012624621,256,0.04737962782382965
128,96,0.1,112,0.00019584369813174676,128,0.04740064591169357
128,96,0.1,64,0.0003069273045576997,512,0.04765167087316513
192,32,0.30000000000000004,48,0.005977728042983696,64,0.04876158758997917
128,32,0.1,96,0.0023360487671257027,512,0.049256421625614166
