changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mean_val_mae
0.001,0.1,additive,1120.7334188321547
0.1,0.1,additive,1123.6183388094662
0.001,1.0,additive,1124.995728965083
0.001,10.0,additive,1125.1607391285293
0.1,10.0,additive,1125.4777040460106
0.1,1.0,additive,1126.25019243887
0.001,0.01,additive,1133.4201085258248
0.1,10.0,multiplicative,1134.0622454943798
0.1,0.1,multiplicative,1134.3915440108633
0.01,0.1,additive,1137.5691445879136
0.01,1.0,additive,1138.930586509107
0.01,10.0,additive,1139.5852591038572
0.1,1.0,multiplicative,1140.4065022901884
0.1,0.01,additive,1144.0937501750152
0.001,0.1,multiplicative,1147.1774813855
0.001,10.0,multiplicative,1149.5689998048335
0.01,0.01,additive,1149.7999873859917
0.01,1.0,multiplicative,1152.382939043899
0.01,0.1,multiplicative,1152.6899779690493
0.001,1.0,multiplicative,1153.0738887889274
0.01,10.0,multiplicative,1153.0848237360417
0.5,1.0,additive,1159.6633926754282
0.5,0.1,additive,1160.1369090946653
0.5,10.0,additive,1162.5020200329936
0.5,0.01,additive,1175.252350069684
0.5,1.0,multiplicative,1179.1320983239254
0.5,0.1,multiplicative,1188.6248067927863
0.5,10.0,multiplicative,1189.2240536823567
0.01,0.01,multiplicative,1248.352408782499
0.1,0.01,multiplicative,1264.516933822723
0.5,0.01,multiplicative,1280.7061521990222
0.001,0.01,multiplicative,1283.2117476025378
